param_classifier__class_weight,param_classifier__max_depth,param_classifier__max_features,param_classifier__max_samples,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,mean_test_roc_auc,std_test_roc_auc,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_fit_time,std_fit_time
balanced_subsample,10,0.5,,10,10,450,1,0.3806309791300972,0.01208450304999317,0.7339434757432028,0.001576428625820849,0.6767562845348476,0.2919194365283589,0.5216243674657601,0.3740839662367678,30.396012592315675,0.46008521906911826
balanced_subsample,10,0.5,0.85,10,5,450,2,0.37999517668096094,0.011478835015045603,0.7339979584298133,0.0017331637497294205,0.6769309382677978,0.29363499083872535,0.5199698002405932,0.37506311096376405,34.872802877426146,0.46133715623094596
balanced,10,sqrt,,10,2,300,3,0.3777586256779931,0.011238596780596261,0.736031294213021,0.002755075072239632,0.6786906408708407,0.2757214310432155,0.5485699771966697,0.3668526826692403,8.068367004394531,0.12277592405128133
balanced_subsample,20,sqrt,,20,5,450,4,0.3776237419892638,0.011352863990660692,0.7355645971820943,0.0012315317724140194,0.6789553396698403,0.28674282059467576,0.5339133250158395,0.37303023032577937,31.946823263168334,0.4159314283651005
balanced,16,log2,,5,2,300,5,0.37735224092944974,0.012007983095900517,0.7331244516872791,0.0021815579165328073,0.6797838142991468,0.2815332347030182,0.5433670777964782,0.37080773796515687,8.941479253768922,0.16396925300859994
balanced,10,sqrt,0.7,10,20,200,6,0.3773169324329138,0.010706773973384971,0.7356393399873251,0.002531584148675669,0.678101819934098,0.27318331612457897,0.5504609510412217,0.3650604133065789,13.408749437332153,0.29701201334454874
balanced_subsample,8,sqrt,0.7,2,10,450,7,0.3761334533144429,0.013101701273213837,0.7346158405725037,0.004026125478653433,0.6781897703861974,0.28726986186717546,0.5313173179710897,0.372786434913382,11.049852228164672,0.4031436965577448
balanced_subsample,10,sqrt,0.7,20,5,600,8,0.37592040267600424,0.010721650734137113,0.735580455547257,0.002591435194982765,0.6789777378585706,0.28039808108907066,0.5426626028173417,0.3696475578241337,31.229425287246706,0.5738668178992028
balanced_subsample,16,log2,0.85,20,5,300,9,0.37509178541164045,0.009884285441267415,0.7353463208046078,0.0019218439802024794,0.6792206155404411,0.2822187000681295,0.540768837867484,0.3708025895804067,8.342495679855347,0.24688156022500843
balanced,12,log2,,1,5,300,10,0.3748566944333896,0.011354295971531802,0.7323269524994871,0.003667699874481913,0.6764117622983907,0.2831099442189523,0.5310806322411737,0.3692889480096381,8.305335140228271,0.20927274419707043
balanced_subsample,10,log2,,2,20,600,11,0.37479023756693175,0.01207985062037314,0.735004675144036,0.0037749061874972943,0.6792156543490429,0.28935720584785524,0.531553166369414,0.3746268066276803,13.181025218963622,0.26139164650169117
balanced_subsample,10,log2,0.7,2,20,450,12,0.374516795353395,0.011597728734601883,0.7350523927275217,0.003535417841077132,0.6781642795939735,0.2914467583689289,0.5258808030568185,0.37495418508868783,26.47502484321594,0.266100239502697
balanced_subsample,10,sqrt,,1,10,600,13,0.3743163840416743,0.012453757385515728,0.7340976551156742,0.004157550925022124,0.6770809249404252,0.29179616987104257,0.5223363784292218,0.3743266113078811,12.71108365058899,0.2441644335315489
balanced,8,log2,0.85,20,2,450,14,0.36971766582094834,0.01012715329945576,0.7329936553039695,0.0037930641581624073,0.678735039624527,0.2715119070026573,0.5549523976990127,0.36454838304014614,9.964185428619384,0.20224531345442331
balanced_subsample,12,0.5,,2,10,300,15,0.3671139916495255,0.013008681610514905,0.7250024663178889,0.0035871088965565684,0.6682135183840474,0.30559347680747273,0.4816814176582068,0.3737045072611583,24.31899490356445,0.8384848960140415
balanced_subsample,,log2,0.85,1,2,450,16,0.307118831704886,0.013112154297895341,0.6876241873388507,0.007094441597677718,0.584746815327126,0.4737852649695384,0.19876995989181676,0.2800156030147082,18.933763027191162,0.3669259408791302
