feature,segment,client_count,subscriber_count,subscription_rate,segment_rank
contact,cellular,29285,4369,14.92,1
contact,telephone,2906,390,13.42,2
contact,unknown,13020,530,4.07,3
job,student,938,269,28.68,1
job,retired,2264,516,22.79,2
job,unemployed,1303,202,15.5,3
job,management,9458,1301,13.76,4
job,admin.,5171,631,12.2,5
job,self-employed,1579,187,11.84,6
job,technician,7597,840,11.06,7
job,services,4154,369,8.88,8
job,housemaid,1240,109,8.79,9
job,entrepreneur,1487,123,8.27,10
job,blue-collar,9732,708,7.27,11
month,mar,477,248,51.99,1
month,sep,579,269,46.46,2
month,oct,738,323,43.77,3
month,apr,2932,577,19.68,4
month,feb,2649,441,16.65,5
month,aug,6247,688,11.01,6
month,jun,5341,546,10.22,7
month,nov,3970,403,10.15,8
month,jan,1403,142,10.12,9
month,jul,6895,627,9.09,10
month,may,13766,925,6.72,11
previous_outcome,success,1511,978,64.73,1
previous_outcome,other,1840,307,16.68,2
previous_outcome,failure,4901,618,12.61,3
previous_outcome,unknown,36959,3386,9.16,4
